siteName,siteStatus,siteState,siteAddress,siteZip,daysofOperation,lunchTime,_geoloc/lat,_geoloc/lng
Fruitland Elementary,Open,WA,"1515 Fruitland undefined, Puyallup, WA 98371",98371,"M,T,W,TH",11:00AM-12:00PM,47.18565299999999,-122.3270349
Karshner Elementary,Open,WA,"1328 8th Ave, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Maplewood Elementary,Open,WA,"1110 Pioneer undefined, Puyallup, WA 98371",98371,"M,T,W,TH",11:00AM-12:00PM,47.19033839999999,-122.3151629
Meeker Elementary,Open,WA,"409 5th St, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Mountain View Elementary,Open,WA,"3411 119th Ave, Puyallup, WA 98374",98374,"M,T,W,TH",11:00AM-12:00PM,47.148189,-122.2666907
Northwood Elementary,Open,WA,"9805 24th St, Puyallup, WA 98374",98374,"M,T,W,TH",11:00AM-12:00PM,47.159257,-122.262693
Shaw Road  Elementary,Open,WA,"1106 Shaw Rd, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1688231,-122.2532619
Spinning Elementary,Open,WA,"1306 Pioneer undefined, Puyallup, WA 98371",98371,"M,T,W,TH",11:00AM-12:00PM,47.19033839999999,-122.3151629
Anderson Island Elementary,Open,WA,"13005 Camus Rd, Steilacoom, WA 98303",98303,"M,T,W,TH",11:30am-12:30am,47.1626886,-122.7147023
Cherrydale Primary School,Open,WA,"1201 Galloway St, Steilacoom, WA 98388",98388,"M,T,W,TH",11:30am-12:30am,47.169942,-122.588995
Chloe Clark Elementary,Open,WA,"1700 Palisade Blvd, Steilacoom, WA 98327",98327,"M,T,W,TH",11:30am-12:30am,47.0972291,-122.6397188
Saltar’s Point Elementary,Open,WA,"908 Third St, Steilacoom, WA 98388",98388,"M,T,W,TH",11:30am-12:30am,47.166018,-122.609314
Pioneer Middle School,Open,WA,"1750 Bobs Hollow Ln, Steilacoom, WA 98327",98327,"M,T,W,TH",11:30am-12:30am,47.0986951,-122.6527994
Steilacoom High School,Open,WA,"54 Sentinel Dr, Steilacoom, WA ",,"M,T,W,TH",11:30am-12:30am,47.1785268,-122.574475
Daffodil Valley Elementary,Open,WA,"1509 Valley Ave, Sumner, WA 98390",98390,"M,T,W,TH",10:00am-12:00am,47.1986725,-122.2294941
Liberty Ridge Elementary,Open,WA,"12202 209th Ave Ct, Sumner, WA ",,"M,T,W,TH",10:00am-12:00am,,
NE Tacoma Elementary,Open,WA,"5419 29th St, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.273885,-122.4848939
Browns Point Elementary,Open,WA,"1526 51st St, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Fern Hill Elementary,Open,WA,"8442 S Park, Tacoma, WA ",,"M,T,W,TH",10:30AM-11:30AM,47.2528768,-122.4442906
Birney Elementary,Open,WA,"1202 76th St, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1882914,-122.4567937
Stafford Elementary,Open,WA,"1615 92nd St, Tacoma, WA 98444",98444,"M,T,W,TH",11:00AM-12:00PM,47.173787,-122.449986
Larchmont Elementary,Open,WA,"8601 B St, Tacoma, WA 98499",98499,"M,T,W,TH",10:45AM-11:45AM,47.18411039999999,-122.4849749
Blix Elementary,Open,WA,"1302 38th St, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.2231779,-122.4543571
Boze Elementary,Open,WA,"1140 65th St, Tacoma, WA 98404",98404,"M,T,W,TH",10:35AM-11:35AM,47.1981189,-122.4145561
Lister Elementary,Open,WA,"2106 44th St, Tacoma, WA ",,"M,T,W,TH",10:50AM-11:50AM,,
Roosevelt Elementary,Open,WA,"3550 Roosevelt Ave, Tacoma, WA ",,"M,T,W,TH",10:40AM-11:40AM,,
Whitman Elementary,Open,WA,"1120 39th St, Tacoma, WA 98407",98407,"M,T,W,TH",11:00AM-12:00PM,47.2843922,-122.5051572
Reed Elementary,Open,WA,"1802 36th St, Tacoma, WA 98407",98407,"M,T,W,TH",10:57AM-11:57AM,47.280504,-122.491988
Madison Early Learning Center,Open,WA,"3105 43rd St, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.218266,-122.45814
Arlington Elementary,Open,WA,"7202 S Pne, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.2528768,-122.4442906
Manitou Elementary,Open,WA,"4330 66th St, Tacoma, WA 98404",98404,"M,T,W,TH",11:00AM-12:00PM,47.1972225,-122.4163524
Edison Elementary,Open,WA,"5830 S Pne, Tacoma, WA ",,"M,T,W,TH",10:50AM-11:50AM,47.2528768,-122.4442906
Stanley Elementary,Open,WA,"1712 17th St, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.244789,-122.465564
Bryant Montessori,Open,WA,"717 Grant Ave, Tacoma, WA 98406",98406,"M,T,W,TH",10:40AM-11:40AM,47.2599679,-122.4700147
McCarver Elementary,Open,WA,"2112 I St, Tacoma, WA ",,"M,T,W,TH",11:15AM-12:15PM,47.2528768,-122.4442906
Jefferson Elementary,Open,WA,"4302 13th St, Tacoma, WA 98406",98406,"M,T,W,TH",10:30AM-11:30AM,47.2617976,-122.4888342
Lyon Elementary,Open,WA,"101 46th St, Tacoma, WA 98407",98407,"M,T,W,TH",10:45AM-11:45AM,47.290749,-122.510367
Mann Elementary,Open,WA,"1002 52nd St, Tacoma, WA ",,"M,T,W,TH",10:45AM-11:45AM,,
Fawcett Elementary,Open,WA,"126 60th St, Tacoma, WA ",,"M,T,W,TH",10:40AM-11:40AM,47.20278099999999,-122.4471622
Sheridan Elementary,Open,WA,"5317 McKinley Ave, Tacoma, WA 98404",98404,"M,T,W,TH",10:40AM-11:40AM,47.232207,-122.4213834
Pt Defiance Elementary,Open,WA,"4330 Visscher St, Tacoma, WA 98407",98407,"M,T,W,TH",10:40AM-11:40AM,47.289913,-122.517086
Truman/Downing,Open,WA,"2502 N Orch, Tacoma, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.2673354,-122.4825914
Skyline Elementary,Open,WA,"2301 Mildred St, Tacoma, WA 98407",98407,"M,T,W,TH",10:40AM-11:40AM,47.2981576,-122.5262742
Geiger Montessori,Open,WA,"7401 8th St, Tacoma, WA 98444",98444,"M,T,W,TH",11:00AM-12:00PM,47.1756174,-122.4452475
Delong Elementary,Open,WA,"4901 14th St, Tacoma, WA ",,"M,T,W,TH",11:20AM-12:20PM,,
Whittier Elementary,Open,WA,"777 Elm Tree Ln, Tacoma, WA 98466",98466,"M,T,W,TH",11:00AM-12:00PM,47.2293776,-122.5143881
Baker Middle School,Open,WA,"8001 J St, Tacoma, WA ",,"M,T,W,TH",10:00am-12:00pm,,
First Creek Middle School,Open,WA,"1801 56th St, Tacoma, WA ",,"M,T,W,TH",10:00am-12:00pm,47.2064207,-122.4681657
Giaudrone Middle School,Open,WA,"4902 Alaska St, Tacoma, WA ",,"M,T,W,TH",10:00am-12:00pm,47.205627,-122.45853
Gray Middle School,Open,WA,"6229 Tyler St, Tacoma, WA ",,"M,T,W,TH",10:00am-12:00pm,47.2222963,-122.493355
Jason Lee Middle School,Open,WA,"602 Sprague Ave, Tacoma, WA 98402",98402,"M,T,W,TH",10:00am-12:00pm,47.2364,-122.433699
Mason Middle School,Open,WA,"3901 28th St, Tacoma, WA ",,"M,T,W,TH",10:00am-12:00pm,47.2728337,-122.4838747
Meeker Middle School,Open,WA,"4402 Nassau Ave, Tacoma, WA 98422",98422,"M,T,W,TH",10:00am-12:00pm,47.2946047,-122.3989901
Stewart Middle School,Open,WA,"5010 Pacific Ave, Tacoma, WA ",,"M,T,W,TH",10:00am-12:00pm,47.2148776,-122.4339996
Anacortes High School (east commons curbside),Open,WA,"1600 20th St, Anacortes, WA 98221",98221,"M,T,W,TH",11:00AM-12:00PM,48.50619,-122.6220895
La Conner Middle School,Open,WA,"305 6th St, La Conner, WA 98257",98257,"M,T,W,TH",10:00AM-12:00PM,48.3943282,-122.4904139
La Conner High School,Open,WA,"305 6th St, La Conner, WA 98257",98257,"M,T,W,TH",10:00AM-12:00PM,48.3943282,-122.4904139
Mount Vernon High School,Open,WA,"314 9th St, Mount Vernon, WA ",,"M,T,W,TH",9:00AM-12:00PM,,
Centennial Elementary,Open,WA,"3100 Martin Rd, Mount Vernon, WA 98274",98274,"M,T,W,TH",9:00AM-12:00PM,48.4130231,-122.3141009
Jefferson Elementary,Open,WA,"1801 Blackburn Rd, Mount Vernon, WA ",,"M,T,W,TH",9:00AM-12:00PM,48.4064244,-122.3162883
Harriet Rowley Elementary,Open,WA,"400 53rd St, Mount Vernon, WA 98273",98273,"M,T,W,TH",9:00AM-12:00PM,48.4226457,-122.2727402
Madison Elementary,Open,WA,"907 Fir St, Mount Vernon, WA 98273",98273,"M,T,W,TH",9:00AM-12:00PM,48.4283292,-122.3134182
Washington Elementary,Open,WA,"undefined McLean Rd, Mount Vernon, WA undefined",,"M,T,W,TH",9:00AM-12:00PM,,
LaVenture Middle School,Open,WA,"1200 Laventure Rd, Mount Vernon, WA 98273",98273,"M,T,W,TH",9:00AM-12:00PM,48.4331717,-122.3133948
Cascade Middle School,Open,WA,"201 Township undefined, Sedro-Woodley, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Sedro-Woolley High School,Open,WA,"1235 3rd St, Sedro-Woodley, WA 98284",98284,"M,T,W,TH",11:00AM-12:00PM,48.4997878,-122.2374815
Hamilton Food Bank,Open,WA,"8159-8173 Petit St, Sedro-Woodley, WA 98284",98284,"M,T,W,TH",11:45AM-12:15PM,48.5050026,-122.2382646
Lynam Baptist Church,Open,WA,"31441 Main St, Sedro-Woodley, WA 98284",98284,"M,T,W,TH",11:00AM-11:30AM,48.50389,-122.2361101
Hoogdal Community Club,Open,WA,"22159 Grip Rd, Sedro-Woodley, WA 98284",98284,"M,T,W,TH",11:45AM-12:15PM,48.5283686,-122.2481005
Presidents Elementary,Open,WA,"505 3rd St, Arlington, WA ",,"M,T,W,TH",10:30AM-12:30PM,,
Arlington High School,Open,WA,"18821 Crown Ridge Blvd, Arlington, WA 98223",98223,"M,T,W,TH",10:30AM-12:30PM,48.1693064,-122.1198123
Darrington High School,Open,WA,"1085 Fir St, Darrington, WA 98241",98241,"M,T,W,TH",11:30AM-12:30 PM,48.24793589999999,-121.602148
Woodstone Apartments,Open,WA,"16520 North Rd, Edmonds, WA ",,"M,T,W,TH",8:45AM-9:00 AM,47.8106521,-122.3773551
Lakeside Apartments,Open,WA,"6102 St Albion Way, Edmonds, WA 98043",98043,"M,T,W,TH",9:15AM-9:30 AM,47.8023617,-122.317105
Lynwood High School,Open,WA,"18218 North Rd, Edmonds, WA ",,"M,T,W,TH",10:00AM-10:30 AM,47.8106521,-122.3773551
Meadowdale Middle School,Open,WA,"6500 168th St, Edmonds, WA ",,"M,T,W,TH",10:00AM-10:30 AM,47.8467311,-122.3367953
Mountlake Terrace High School,Open,WA,"21801 44th Ave, Edmonds, WA ",,"M,T,W,TH",10:00AM-10:30 AM,47.8289986,-122.2924415
Serra Vista Apartments,Open,WA,"15517 40th Ave, Edmonds, WA ",,"M,T,W,TH",10:30AM-10:45 AM,,
Lynnwood Elementary,Open,WA,"18614 44th Ave, Edmonds, WA ",,"M,T,W,TH",10:30AM-11:00 AM,47.8289986,-122.2924415
Scriber Creek Apartments,Open,WA,"20921 44th Ave, Edmonds, WA ",,"M,T,W,TH",10:45AM-11:00 AM,47.8289986,-122.2924415
Lynndale Elementary,Open,WA,"7200 191st Pl, Edmonds, WA ",,"M,T,W,TH",11:00AM-11:30 AM,47.8260276,-122.3339993
Chase Lake Elementary,Open,WA,"21603 84th Ave, Edmonds, WA ",,"M,T,W,TH",11:00AM-11:30 AM,,
College Place Elementary,Open,WA,"20401 76th Ave, Edmonds, WA ",,"M,T,W,TH",11:00AM-11:30 AM,,
Mountlake Terrace Elementary,Open,WA,"22001 52nd Ave, Edmonds, WA ",,"M,T,W,TH",11:00AM-11:30 AM,47.8247004,-122.3032675
Cedar Valley Elementary,Open,WA,"19200 56th Ave, Edmonds, WA ",,"M,T,W,TH",11:00AM-11:30 AM,47.82196949999999,-122.3083967
Community Life Center,Open,WA,"19820 Scriber Lake Rd, Edmonds, WA 98036",98036,"M,T,W,TH",11:00AM-11:15 AM,47.8205045,-122.3077199
Collins Junctions Apartments,Open,WA,"4727 200th St, Edmonds, WA ",,"M,T,W,TH",11:30AM-11:45 AM,47.8178097,-122.3358473
Spruce Park,Open,WA,"16834 36th Ave, Edmonds, WA ",,"M,T,W,TH",11:30AM-11:45AM,47.82368169999999,-122.2817552
A’Cappella Apartments,Open,WA,"15001 35th Ave, Edmonds, WA 98087",98087,"M,T,W,TH",12:00AM-12:15 PM,47.8573005,-122.280352
Meadowdale Community Church,Open,WA,"4900 168th Ave St, Edmonds, WA ",,"M,T,W,TH",12:00PM-12:15PM,47.8467311,-122.3367953
Oak Heights Elementary,Open,WA,"15500 18th Ave, Edmonds, WA ",,"M,T,W,TH",12:15PM-12:30 PM,47.8106521,-122.3773551
Martha Lake Mobile Manor,Open,WA,"415 Lakeview Rd, Edmonds, WA 98043",98043,"M,T,W,TH",12:30PM-12:45PM,47.7878819,-122.326675
Alderwood Boys and Girls Club,Open,WA,"19719 24th Ave, Edmonds, WA ",,"M,T,W,TH",12:30PM-12:45PM,47.8106521,-122.3773551
Martha Lake Elementary,Open,WA,"16300 E Shr, Edmonds, WA ",,"M,T,W,TH",12:45PM-1:00PM,47.8106521,-122.3773551
Cascade High School,Open,WA,"801 Casino Rd, Everett, WA 98204",98204,"M,T,W,TH",11:30AM-11:45AM,47.883032,-122.237124
Cedarwood Elementary,Open,WA,"3414 168th St, Everett, WA 98296",98296,"M,T,W,TH",11:30AM-11:45AM,47.8446759,-122.1153693
District Apartments,Open,WA,"17716 Bothell Everett Hwy, Everett, WA ",,"M,T,W,TH",12:00PM-12:30PM,47.8826018,-122.206811
Eisenhower Middle School,Open,WA,"10200 25th Ave, Everett, WA 98201",98201,"M,T,W,TH",11:30AM-11:45AM,47.9844412,-122.1964616
Evergreen Middle School,Open,WA,"7621 Beverly Ln, Everett, WA 98203",98203,"M,T,W,TH",11:15AM-11:30AM,47.9365068,-122.2284005
Family Tree Apartments,Open,WA,"10110 19th Ave, Everett, WA ",,"M,T,W,TH",12:00PM-12:30PM,47.9923614,-122.199065
Forest View Elementary,Open,WA,"5601 156th St, Everett, WA ",,"M,T,W,TH",11:15AM-11:30AM,47.8562271,-122.1590658
Garfield Elementary,Open,WA,"2215 Pine St, Everett, WA 98201",98201,"M,T,W,TH",11:00AM-11:30AM,47.9901176,-122.1921349
Gateway Apartments,Open,WA,"13105 21st Dr, Everett, WA 98201",98201,"M,T,W,TH",12:30PM-1:00PM,47.9897134,-122.197018
Hawthorne Elementary,Open,WA,"1110 Poplar St, Everett, WA 98201",98201,"M,T,W,TH",11:45-12:15PM,48.0009305,-122.1945361
Heatherwood Middle School,Open,WA,"1419 Trillium Blvd, Everett, WA 98026",98026,"M,T,W,TH",11:30-11:45AM,47.8636219,-122.3002016
Heatherwood Apartments,Open,WA,"13510 North Crk, Everett, WA ",,"M,T,W,TH",11:00-11:30AM,47.9789848,-122.2020795
Jackson Elementary,Open,WA,"3700 Federal Ave, Everett, WA ",,"M,T,W,TH",11:45-12:00PM,47.9700238,-122.2173477
Jefferson Elementary,Open,WA,"2500 Cadet Way, Everett, WA 98208",98208,"M,T,W,TH",11:00-11:15AM,47.9176545,-122.1978989
Lowell Elementary,Open,WA,"5010 View Dr, Everett, WA 98203",98203,"M,T,W,TH",11:15-11:30AM,47.9494639,-122.206604
Madison Elementary,Open,WA,"616 Pecks Dr, Everett, WA 98203",98203,"M,T,W,TH",12:30-12:45PM,47.9418909,-122.2253242
Mill Creek Elementary,Open,WA,"3400 148th St, Everett, WA ",,"M,T,W,TH",11:45-12:00PM,47.8631587,-122.193981
Mirabella Apartments,Open,WA,"805 112th St, Everett, WA 98204",98204,"M,T,W,TH",11:45-12:15PM,47.8964304,-122.2537144
James Monroe Elementary,Open,WA,"10901 27th Ave, Everett, WA ",,"M,T,W,TH",11:15-11:30AM,47.896404,-122.1953282
North Middle School,Open,WA,"2514 Rainier Ave, Everett, WA 98201",98201,"M,T,W,TH",11:30AM-11:45AM,47.9918171,-122.1983776
Penny Creek Elementary,Open,WA,"4117 132nd St, Everett, WA ",,"M,T,W,TH",12:15AM-12:30PM,47.8778959,-122.1767789
Sequoia High School,Open,WA,"3516 Rucker Ave, Everett, WA ",,"M,T,W,TH",11:15AM-11:30 AM,47.9788651,-122.2114711
Shoreside Village,Open,WA,"701 75th St, Everett, WA 98203",98203,"M,T,W,TH",11:45AM-12:15PM,47.9301491,-122.2124255
Silver Firs Elementary,Open,WA,"5909 146th Pl, Everett, WA ",,"M,T,W,TH",11:45AM-12:00PM,,
Silver Lake Elementary,Open,WA,"12815 Bothell Everett Hwy, Everett, WA ",,"M,T,W,TH",12:00PM-12:15PM,47.8826018,-122.206811
The Lakehouse Apartments,Open,WA,"12115 19th Ave, Everett, WA ",,"M,T,W,TH",11:15AM-11:45AM,47.9923614,-122.199065
Tambark Creek Elementary,Open,WA,"17217 35th Ave, Everett, WA ",,"M,T,W,TH",11:00AM-11:15AM,,
View Ridge Elementary,Open,WA,"202 Alder St, Everett, WA 98203",98203,"M,T,W,TH",12:15PM-12:30PM,47.9526227,-122.2309204
Whittier Elementary,Open,WA,"916 Oakes Ave, Everett, WA 98201",98201,"M,T,W,TH",12:30-12:45PM,47.9943039,-122.2048335
Woodside Elementary,Open,WA,"17000 23rd Ave, Everett, WA 98201",98201,"M,T,W,TH",11:30AM-11:45AM,47.9870724,-122.196391
Granite Falls Middle School Multi-Purpose Room,Open,WA,"405 Alder Ave, Granite Falls, WA ",,"M,T,W,TH",11:00AM-1:00PM,,
Lake Stevens Middle School,Open,WA,"1031 91st Ave, Lake Stevens, WA 98258",98258,"M,T,W,TH",11:30AM-1:00PM,48.0262608,-122.107831
North Lake Middle School,Open,WA,"2202 123rd Ave, Lake Stevens, WA ",,"M,T,W,TH",11:30AM-1:00 PM,,
Allen Creek Elementary School,Open,WA,"6505 60th Dr, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.0413989,-122.1502085
Cascade Elementary School,Open,WA,"5200 100th St, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.0852279,-122.1489132
Grove Elementary School,Open,WA,"6510 Grove St, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.06164099999999,-122.1672472
Kellogg Marsh Elementary School,Open,WA,"6325 91st St, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,,
Liberty Elementary School,Open,WA,"1919 10th St, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.05810200000001,-122.1759523
Marshall Elementary School,Open,WA,"4407 116th St, Marysville, WA 98271",98271,"M,T,W,TH",10:30AM-12:30PM,48.1000316,-122.1780956
Pinewood Elementary School,Open,WA,"8600 52nd Ave, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.042845,-122.1394409
Quil Ceda Tulalip Elementary School,Open,WA,"2415 74th St, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.0482489,-122.1315745
Shoultes Elementary School,Open,WA,"13525 51st Ave, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.0421382,-122.1183697
Sunnyside Elementary School,Open,WA,"3707 Sunnyside Blvd, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,48.03356489999999,-122.1464377
10th Street Middle School,Open,WA,"7204 27th Ave, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,48.1522456,-122.1937403
Cedarcrest Middle School,Open,WA,"6400 88th St, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,,
Marysville Middle School,Open,WA,"4923 67th St, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.0557705,-122.1522309
Totem Middle School,Open,WA,"1605 7th Ave, Marysville, WA 98270",98270,"M,T,W,TH",10:30AM-12:30PM,48.05446020000001,-122.1738935
Legacy High School,Open,WA,"7204 27th Ave, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,48.1522456,-122.1937403
Heritage High School,Open,WA,"7204 27th Ave, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,48.1522456,-122.1937403
Marysville Pilchuck High School,Open,WA,"5611 108th St, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,,
Marysville Getchell High School,Open,WA,"8301 84th St, Marysville, WA ",,"M,T,W,TH",10:30AM-12:30PM,,
Chain Lake Elementary School,Open,WA,"12125 Chain Rd, Monroe School District, WA 98272",98272,"M,T,W,TH",11:30AM-1:30PM,47.85462690000001,-121.9689586
Frank Wagner Elementary School,Open,WA,"115 Dickinson Rd, Monroe School District, WA 98272",98272,"M,T,W,TH",11:30AM-1:30PM,47.85462690000001,-121.9689586
Fryelands Elementary School,Open,WA,"15286 Fryelands Blvd, Monroe School District, WA ",,"M,T,W,TH",11:30AM-1:30PM,,
Maltby Elementary School,Open,WA,"9700 212th St, Monroe School District, WA 98272",98272,"M,T,W,TH",11:30AM-1:30PM,47.85462690000001,-121.9689586
Salem Woods Elementary School,Open,WA,"12802 Wagner Rd, Monroe School District, WA 98272",98272,"M,T,W,TH",11:30AM-1:30PM,47.8536817,-121.9796457
Challenger Elementary School,Open,WA,"9600 Holly Dr, Mukilteo, WA 98275",98275,"M,T,W,TH",11:30AM-1:00PM,47.9215873,-122.3007973
Columbia Elementary School,Open,WA,"10520 Harbour Pointe Blvd, Mukilteo, WA 98275",98275,"M,T,W,TH",11:30AM-1:00PM,47.8856515,-122.3051342
Horizon Elementary School,Open,WA,"222 Casino Rd, Mukilteo, WA 98204",98204,"M,T,W,TH",11:30AM-1:00PM,47.8803063,-122.2678305
Mariner High School,Open,WA,"200 120th St, Mukilteo, WA ",,"M,T,W,TH",11:30AM-1:00PM,,
Mukilteo Elementary School,Open,WA,"2600 Mukilteo undefined, Mukilteo, WA ",,"M,T,W,TH",11:30AM-1:00PM,47.9445396,-122.3045815
Odyssey Elementary School,Open,WA,"13025 17th Ave, Mukilteo, WA ",,"M,T,W,TH",11:30AM-1:00PM,,
Serene Lake Elementary School,Open,WA,"4709 Picnic Point Rd, Mukilteo, WA ",,"M,T,W,TH",11:30AM-1:00PM,47.9445396,-122.3045815
Boys & Girls Club,Open,WA,"402 2nd St, Snohomish, WA 98290",98290,"M,T,W,TH",10:30AM-10:55AM,47.9128734,-122.0938511
Snohomish Aquatic Center,Open,WA,"516 Maple Ave, Snohomish, WA 98290",98290,"M,T,W,TH",11:00AM-11:25AM,47.91946979999999,-122.0866478
Emerson Elementary School,Open,WA,"1103 Pine Ave, Snohomish, WA 98290",98290,"M,T,W,TH",11:30AM-11:55AM,47.9249398,-122.0854476
Snohomish High School (south parking lot),Open,WA,"1316 5th St, Snohomish, WA 98290",98290,"M,T,W,TH",12:00-12:25PM,47.9175472,-122.0968711
Circle H Mobile Home Park,Open,WA,"6413 123rd Ave, Snohomish, WA 98290",98290,"M,T,W,TH",12:40-1:00PM,47.9349297,-122.0664466
3 Rivers Mobile Home Park,Open,WA,"13201 Elliott Rd, Snohomish, WA ",,"M,T,W,TH",11:15-11:45AM,47.838989,-122.0746564
Valley View Middle School,Open,WA,"14308 Broadway Ave, Snohomish, WA ",,"M,T,W,TH",12:00-12:30PM,47.8414247,-122.1033245
Twin City Elementary School,Open,WA,"26211 72nd Ave, Stanwood-Camano, WA ",,"M,T,W,TH",10:00AM-1:00PM,,
Cedarhome Elementary School,Open,WA,"27911 68th Ave, Stanwood-Camano, WA ",,"M,T,W,TH",10:00AM-1:00PM,48.27181179999999,-122.3247978
Stanwood Middle School,Open,WA,"9405 271st St, Stanwood-Camano, WA 98292",98292,"M,T,W,TH",10:00AM-1:00PM,48.2421382,-122.3622465
Elger Bay Elementary School,Open,WA,"1810 Elger Bay Rd, Stanwood-Camano, WA ",,"M,T,W,TH",10:00AM-1:00PM,48.2600475,-122.3116155
Lake Ketchum Boat Launch,Open,WA,"8313 S Lk, Stanwood-Camano, WA ",,"M,T,W,TH",10:00AM-10:30AM,48.2600475,-122.3116155
Life Church 360,Open,WA,"9620 188th St, Stanwood-Camano, WA ",,"M,T,W,TH",11:00AM-11:30AM,48.1665509,-122.2712569
Camano Island Yacht Club,Open,WA,"129 Sunset Dr, Stanwood-Camano, WA 98282",98282,"M,T,W,TH",10:00AM-10:30AM,48.2277056,-122.5324736
Chalet at Camaloch,Open,WA,"358 Camaloch Dr, Stanwood-Camano, WA 98282",98282,"M,T,W,TH",11:00AM-11:30AM,48.2227778,-122.4752778
Lost Lake Clubhouse,Open,WA,"1469 Lake Dr, Stanwood-Camano, WA 98282",98282,"M,T,W,TH",10:00AM-10:30AM,48.1555896,-122.4895331
Camano Country Club,Open,WA,"1243 Beach Dr, Stanwood-Camano, WA 98282",98282,"M,T,W,TH",11:00AM-11:30AM,48.1643924,-122.4728609
Shuksan Drive & Sultan Drive,Open,WA,"E Shuksan Dr & S Sultan Dr, Camano",,"M,T,W,TH",10:00AM-10:30AM,,
Awa Lane & Wells Way,Open,WA,"E Awa Ln & S Wells Way, Camano",,"M,T,W,TH",11:00AM-11:30AM,,
Gold Bar Elementary,Open,WA,"419 Lewis Ave, Sultan, WA 98251",98251,"M,T,W,TH",10:00AM-12:00PM,47.8564446,-121.6965937
Sultan Middle School,Open,WA,"301 High Ave, Sultan, WA ",,"M,T,W,TH",10:00AM-12:00PM,,
Aspen Apartments,Open,WA,"15821 4th Ave, Central Valley, WA 98311",98311,"M,T,W,TH",10:00AM-1:00PM,47.6481423,-122.6518915
Greenacres Elementary,Open,WA,"17915 4th undefined, Central Valley, WA 98311",98311,"M,T,W,TH",10:00AM-1:00PM,47.6481423,-122.6518915
Summit School,Open,WA,"13313 Broadway Ave, Central Valley, WA 99037",99037,"M,T,W,TH",10:00AM-1:00PM,47.6491106,-117.1935751
Bowdish Middle School,Open,WA,"2109 Skipworth Rd, Central Valley, WA 99037",99037,"M,T,W,TH",10:00AM-1:00PM,47.6491106,-117.1935751
Broadway Elementary School,Open,WA,"11016 Broadway Ave, Central Valley, WA 99037",99037,"M,T,W,TH",10:00AM-1:00PM,47.6491106,-117.1935751
Evergreen Middle School,Open,WA,"14221 16th Ave, Central Valley, WA ",,"M,T,W,TH",10:00AM-1:00PM,,
Opportunity Elementary School,Open,WA,"1109 Wilbur Rd, Central Valley, WA ",,"M,T,W,TH",10:00AM-1:00PM,,
Liberty Creek Elementary Parent Loop,Open,WA,"2309 Country Vista Dr, Central Valley, WA 99019",99019,"M,T,W,TH",10:00AM-1:00PM,47.6678033,-117.1061464
Pope Francis,Open,WA,"16412 Sprague Ave, Central Valley, WA ",,"M,T,W,TH",10:00AM-1:00PM,47.6569707,-117.1700259
Progress Elementary,Open,WA,"710 Progress Rd, Central Valley, WA 99037",99037,"M,T,W,TH",10:00AM-1:00PM,47.663306,-117.2009475
Riverbend Elementary,Open,WA,"17720 E Msn, Central Valley, WA 98370",98370,"M,T,W,TH",10:00AM-1:00PM,47.6631504,-122.6498672
Selkirk Middle School,Open,WA,"1409 Harvest Pkwy, Central Valley, WA 98112",98112,"M,T,W,TH",10:00AM-1:00PM,47.6225807,-122.2972871
University Elementary,Open,WA,"1613 University Rd, Central Valley, WA 98801",98801,"M,T,W,TH",10:00AM-1:00PM,47.4315968,-120.3370067
University High School,Open,WA,"12420 32nd Ave, Central Valley, WA 99037",99037,"M,T,W,TH",10:00AM-1:00PM,47.6491106,-117.1935751
